sku,name,shortDescription,longDescription,category,price,compareAtPrice,inventory,imageUrl,badge,featured
SKU-1001,Mid-Century Leather Armchair,Premium leather statement seating.,An authentic reproduction of a classic 1950s design featuring premium top-grain leather and a supportive hardwood frame.,Furniture,450.00,899.00,12,https://example.com/chair.jpg,50% OFF,true
SKU-1002,Brushed Brass Desk Lamp,Adjustable brass task lighting.,Elegant and minimal task lighting with an adjustable head and warm brushed finish for desks and bedside tables.,Lighting,85.00,,45,https://example.com/lamp.jpg,,false
SKU-2001,Memory Foam Bath Mat Set (2pc),Plush non-slip memory foam bath mat with matching toilet contour mat.,"2-piece memory foam bath set with raised footprint design and Greek-key border. Includes a large rectangular rug and a matching contour mat. Soft, quick-drying and non-slip. Available in Black, Pink, Sky Blue, Beige, Royal Blue, Silver, Grey and Charcoal.",Home & Bath,9.99,49.00,20,https://weareclearance.replit.app/api/storage/objects/uploads/85956388-5bdf-40d6-89e6-d6fef169aecf,80% OFF,false
SKU-2002,Jacquard Border Bath Towel Bale (4pc),Luxury cotton towel set with woven jacquard border.,"100% cotton bath towel bale finished with a woven Greek-key jacquard border. Highly absorbent, soft and quick-drying. Available in Grey, Blush Pink, Turquoise, Ivory, Sage Green, Charcoal and Denim Blue.",Home & Bath,9.99,49.00,20,https://weareclearance.replit.app/api/storage/objects/uploads/815a86c6-6c2f-462c-88fe-cdbcb75087b2,80% OFF,false
SKU-2003,Bonappétit 8-Piece Non-Stick Cookware Set,"Marble ceramic non-stick cookware, 4 casserole sizes with lids.","8-piece non-stick cookware set including 20cm, 24cm, 28cm and 32cm casseroles with marble ceramic coating, glass lids and soft-touch handles. Suitable for all hobs including induction.",Kitchen,9.99,49.00,20,https://weareclearance.replit.app/api/storage/objects/uploads/093a90d3-b60e-4244-9b23-bc29497e9292,80% OFF,false
SKU-2004,Portable Telescopic Folding Stool,Compact collapsible stool with carry strap.,"Lightweight telescopic stool that collapses flat and extends in seconds. Padded seat, sturdy plastic build and carry strap. Ideal for camping, festivals or as a home step stool.",Outdoor & Camping,9.99,49.00,20,https://weareclearance.replit.app/api/storage/objects/uploads/a7393df2-0a29-4123-b574-be74f7b8bae7,80% OFF,false
SKU-2005,Dr. Hawthorne Deep Tissue Mini Massager,Compact percussion massage gun with 4 heads.,"Deep tissue mini massage gun with quiet high-torque motor, multiple speed levels and 4 interchangeable heads. Ideal for muscle recovery and everyday tension relief. Available in Black and Red.",Wellness,9.99,49.00,20,https://weareclearance.replit.app/api/storage/objects/uploads/b010b775-f7c5-4660-b00e-694388910fbe,80% OFF,false
SKU-2006,Quilted Bedspread 3-Piece Set,Diamond stitch quilted bedspread with gold trim.,"3-piece quilted bedspread set with diamond stitch pattern and contrasting Greek-key trim. Includes 1 bedspread and 2 pillow shams. Available in Black, Navy, White and Grey.",Bedding,9.99,49.00,20,https://weareclearance.replit.app/api/storage/objects/uploads/79e721d0-1e23-412b-a706-bc6b59a7647a,80% OFF,false
SKU-2007,Fluffy Round Pet Bed,Plush donut-style pet bed with bolster sides.,"Soft faux-fur donut pet bed with raised bolster sides for head and neck support. Machine washable. Available in Ivory, Charcoal, Slate, Grey and Blue-Grey.",Pet Supplies,9.99,49.00,20,https://weareclearance.replit.app/api/storage/objects/uploads/9c1a6b66-ff32-44e5-8522-c580370fd32f,80% OFF,false
SKU-2008,Foldable Laptop Bed Tray Table,Folding lap desk with cup holder and tablet slot.,"Foldable laptop tray table with built-in cup holder, tablet slot and sturdy folding legs. Easy-wipe surface. Available in Black and Natural Wood.",Furniture,9.99,49.00,20,https://weareclearance.replit.app/api/storage/objects/uploads/2f3aa30e-44e3-4358-8df4-598559e2780a,80% OFF,false
