"id","sku","slug","name","shortDescription","longDescription","category","price","compareAtPrice","imageUrl","badge","featured","inventory"
41,"WAC-RUG-1B8D3B7F","soft-washable-runner-rug-34","Soft Washable Runner Rug","A soft, easy-care runner to add warmth to hallways and rooms.","A soft, easy-care runner to add warmth to hallways and rooms.","Rugs",9.99,16.99,"https://images.unsplash.com/photo-1600166898405-da9535204843?auto=format&fit=crop&w=900&q=80","New",false,243
40,"WAC-TOO-8C26AA58","rechargeable-led-torch-33","Rechargeable LED Torch","A bright rechargeable torch for home, car, and camping.","A bright rechargeable torch for home, car, and camping.","Tools",4.99,7.99,"https://images.unsplash.com/photo-1513475382585-d06e58bcb0e0?auto=format&fit=crop&w=900&q=80","New",false,236
39,"WAC-PER-31B8FBCA","hand-and-body-care-set-32","Hand and Body Care Set","A gentle hand and body care set for a little daily luxury.","A gentle hand and body care set for a little daily luxury.","Personal Care",6.49,9.99,"https://images.unsplash.com/photo-1556229010-6c3f2c9ca5f8?auto=format&fit=crop&w=900&q=80","Save 35%",true,229
38,"WAC-FRA-24E1FB55","fresh-fragrance-mist-31","Fresh Fragrance Mist","A light, fresh fragrance mist for everyday use.","A light, fresh fragrance mist for everyday use.","Fragrances",5.99,8.99,"https://images.unsplash.com/photo-1541643600914-78b084683601?auto=format&fit=crop&w=900&q=80","Gift Pick",false,222
37,"WAC-MEN-546C2EE9","classic-men-s-hoodie-30","Classic Men's Hoodie","A relaxed everyday hoodie with a soft brushed finish.","A relaxed everyday hoodie with a soft brushed finish.","Men's",8.99,14.99,"https://images.unsplash.com/photo-1556821840-3a63f95609a7?auto=format&fit=crop&w=900&q=80","Trending",false,215
36,"WAC-SOC-2BCEEE83","everyday-cotton-socks-5-pack-29","Everyday Cotton Socks 5 Pack","Five pairs of comfortable cotton-rich everyday socks.","Five pairs of comfortable cotton-rich everyday socks.","Socks",3.99,6.99,"https://images.unsplash.com/photo-1582966772680-860e372bb558?auto=format&fit=crop&w=900&q=80","Multibuy",true,208
35,"WAC-CAM-1B8D6EB5","two-person-festival-tent-28","Two-Person Festival Tent","A compact two-person tent for weekends outdoors.","A compact two-person tent for weekends outdoors.","Camping & Outdoor",9.99,19.99,"https://images.unsplash.com/photo-1504851149312-7a075b496cc7?auto=format&fit=crop&w=900&q=80","Half Price",false,201
34,"WAC-GAR-F2BA6E76","garden-grow-pot-set-27","Garden Grow Pot Set","A simple set of pots for herbs, flowers, and seedlings.","A simple set of pots for herbs, flowers, and seedlings.","Garden Accessories",4.99,7.99,"https://images.unsplash.com/photo-1416879595882-3373a0480b5b?auto=format&fit=crop&w=900&q=80","New",false,194
33,"WAC-GAR-65F68AFB","foldable-garden-chair-26","Foldable Garden Chair","A handy foldaway chair for patios, picnics, and camping.","A handy foldaway chair for patios, picnics, and camping.","Garden Furniture",9.99,16.99,"https://images.unsplash.com/photo-1598902108854-10e335adac99?auto=format&fit=crop&w=900&q=80","Last Chance",true,187
32,"WAC-HOU-F359B41B","laundry-sorter-basket-25","Laundry Sorter Basket","A lightweight sorter to keep laundry day organised.","A lightweight sorter to keep laundry day organised.","Household Essentials",6.99,10.99,"https://images.unsplash.com/photo-1517677208171-0bc6725a3e60?auto=format&fit=crop&w=900&q=80","Save 36%",false,180
